FIELDDESCRIPTION,,,Check Enabled,Check Enabled,Special Checks (NCCT),,,Watchlist/Searchlist usage,,,
"Message
Type",Tag,Field Name,IN data,OUT data,BIC,IBAN,ISIN,FacSan/EmbargoPersonNames,FacSan/EmbargoEntityNames,FacSan/EmbargoVesselNames,FacPep/PepPersonNames
101,20,Sender's Reference,X,X,0,0,0,2,2,0,0
101,21R,Customer Specified Reference,X,X,0,0,0,2,2,0,0
101,28D,Message Index/Total,X,X,0,0,0,2,2,0,0
101,50C,Instructing Party,X,X,0,0,0,2,2,0,1
101,50L,Instructing Party,X,X,0,0,0,2,2,0,0
101,50F,Ordering Customer,X,X,X,X,0,2,2,0,0
101,50G,Ordering Customer,X,X,0,0,X,2,2,0,0
101,50H,Ordering Customer,X,X,0,0,0,2,2,0,0
101,52A,Account Servicing Institution,X,X,X,0,0,2,2,0,2
101,52C,Account Servicing Institution,X,X,0,0,X,2,2,0,0
101,51A,Sending Institution,X,X,X,X,0,2,2,0,2
101,30,Requested Execution Date,X,X,0,0,0,2,2,0,0
101,25,Authorisation,X,X,0,X,0,2,2,0,0
101,21,Transaction Reference,X,X,X,0,X,2,2,0,0
101,21F,F/X Deal Reference,X,X,0,0,0,2,2,0,0
101,23E,Instruction Code,X,X,0,0,0,2,2,0,0
101,32B,Currency/Transaction Amount,X,X,0,0,0,2,2,0,1
101,56A,Intermediary,X,X,X,0,0,2,2,0,2
101,56C,Intermediary,X,X,0,X,0,2,2,0,0
101,56D,Intermediary,X,X,0,0,0,2,2,0,0
101,57A,Account With Institution,X,X,X,0,0,2,2,0,2
101,57C,Account With Institution,X,X,0,0,0,2,2,0,0
101,57D,Account With Institution,X,X,0,0,0,2,2,0,0
101,59,Beneficiary,X,X,0,0,0,2,2,2,0
101,59A,Beneficiary,X,X,X,0,0,2,2,0,2
101,59F,Beneficiary,X,X,0,0,0,2,2,0,0
101,70,Remittance Information,X,X,0,0,0,2,2,0,0
101,77B,Regulatory Reporting,X,X,X,X,X,2,2,0,0
101,33B,Currency/Original Ordered Amount,X,X,0,0,0,2,2,0,2
101,71A,Details of Charges,X,X,X,0,0,2,2,0,2
101,25A,Charges Account,X,X,X,0,0,2,2,0,2
